"Year","Age_category","SA2.name","Gender","Population_Count","CO2_generated_ML_yr","CO2_generated_tonnes_yr"
2017,"Teen","West Melbourne (Industrial)","F",0,0,0
2016,"Teen","West Melbourne (Residential)","F",167,30.8090952,61.002008496
2016,"Teen","Parkville","F",811,149.6178216,296.243286768
2015,"Teen","Southbank","F",191,35.2367496,69.768764208
2017,"Teen","West Melbourne (Industrial)","A",0,0,0
2016,"Teen","West Melbourne (Residential)","A",330,67.64472,133.9365456
2016,"Teen","Parkville","A",1410,289.02744,572.2743312
2015,"Teen","Southbank","A",327,67.029768,132.71894064
2017,"Teen","Melbourne (CBD)","M",410,92.447784,183.04661232
2016,"Teen","Port Melbourne","M",573,129.2014152,255.818802096
2016,"Teen","South Yarra","M",212,47.8022688,94.648492224
2015,"Teen","Southbank","M",288,64.9389312,128.579083776
2017,"Teen","Melbourne (CBD)","F",430,79.328808,157.07103984
2016,"Teen","Port Melbourne","F",532,98.1463392,194.329751616
2016,"Teen","South Yarra","F",243,44.8300008,88.763401584
2015,"Teen","Southbank","F",365,67.337244,133.32774312
2017,"Teen","Melbourne (CBD)","A",840,172.18656,340.9293888
2016,"Teen","Port Melbourne","A",1105,226.50732,448.4844936
2016,"Teen","South Yarra","A",455,93.26772,184.6700856
2015,"Teen","Southbank","A",653,133.854552,265.03201296
2017,"Teen","Melbourne (CBD)","M",828,186.6994272,369.664865856
2016,"Teen","Port Melbourne","M",2,0.4509648,0.892910304
2016,"Teen","West Melbourne (Industrial)","M",0,0,0
2018,"Teen","Docklands","F",329,60.6957624,120.177609552
2017,"Teen","Melbourne (CBD)","F",1231,227.1017736,449.661511728
2016,"Teen","Port Melbourne","F",0,0,0
2016,"Teen","West Melbourne (Industrial)","F",0,0,0
2018,"Teen","Docklands","A",622,127.500048,252.45009504
2017,"Teen","Melbourne (CBD)","A",2059,422.062056,835.68287088
2016,"Teen","Port Melbourne","A",2,0.409968,0.81173664
2016,"Teen","West Melbourne (Industrial)","A",0,0,0
2018,"Teen","East Melbourne","M",86,19.3914864,38.395143072
2017,"Teen","Melbourne (CBD)","M",500,112.7412,223.227576
2017,"Teen","Carlton","M",1274,287.2645776,568.783863648
2016,"Teen","Melbourne (CBD)","M",433,97.6338792,193.315080816
2018,"Teen","East Melbourne","F",102,18.8175312,37.258711776
2017,"Teen","Melbourne (CBD)","F",623,114.9345288,227.570367024
2017,"Teen","Carlton","F",1748,322.4808288,638.512041024
2016,"Teen","Melbourne (CBD)","F",442,81.5426352,161.454417696
2018,"Teen","East Melbourne","A",188,38.536992,76.30324416
2017,"Teen","Melbourne (CBD)","A",1123,230.197032,455.79012336
2017,"Teen","Carlton","A",3022,619.461648,1226.53406304
2016,"Teen","Melbourne (CBD)","A",875,179.361,355.13478
2018,"Teen","Melbourne (Remainder)","M",0,0,0
2017,"Teen","North Melbourne","M",758,170.9156592,338.413005216
2017,"Teen","Docklands","M",298,67.1937552,133.043635296
2016,"Teen","Melbourne (CBD)","M",832,187.6013568,371.450686464
2018,"Teen","Melbourne (Remainder)","F",0,0,0
2017,"Teen","North Melbourne","F",883,162.9007848,322.543553904
2017,"Teen","Docklands","F",341,62.9095896,124.560987408
2016,"Teen","Melbourne (CBD)","F",1256,231.7139136,458.793548928
2018,"Teen","Melbourne (Remainder)","A",0,0,0
2017,"Teen","North Melbourne","A",1641,336.378744,666.02991312
2017,"Teen","Docklands","A",639,130.984776,259.34985648
2016,"Teen","Melbourne (CBD)","A",2088,428.006592,847.45305216
2018,"Teen","Kensington","M",393,88.6145832,175.456874736
2017,"Teen","Melbourne (Remainder)","M",0,0,0
2017,"Teen","East Melbourne","M",89,20.0679336,39.734508528
2016,"Teen","Melbourne (CBD)","M",461,103.9473864,205.815825072
2018,"Teen","Kensington","F",387,71.3959272,141.363935856
2017,"Teen","Melbourne (Remainder)","F",0,0,0
2017,"Teen","East Melbourne","F",96,17.7106176,35.067022848
2016,"Teen","Melbourne (CBD)","F",585,107.924076,213.68967048
2018,"Teen","Kensington","A",780,159.88752,316.5772896
2017,"Teen","Melbourne (Remainder)","A",0,0,0
2017,"Teen","East Melbourne","A",185,37.92204,75.0856392
2016,"Teen","Melbourne (CBD)","A",1046,214.413264,424.53826272
2018,"Teen","Parkville","M",641,144.5342184,286.177752432
2017,"Teen","Southbank","M",133,29.9891592,59.378535216
2019,"Teen","West Melbourne (Industrial)","F",0,0,0
2018,"Teen","West Melbourne (Residential)","F",186,34.3143216,67.942356768
2018,"Teen","Parkville","F",888,163.8232128,324.369961344
2017,"Teen","Southbank","F",193,35.6057208,70.499327184
2019,"Teen","West Melbourne (Industrial)","A",0,0,0
2018,"Teen","West Melbourne (Residential)","A",370,75.84408,150.1712784
2018,"Teen","Parkville","A",1529,313.420536,620.57266128
2017,"Teen","Southbank","A",326,66.824784,132.31307232
2019,"Teen","Melbourne (CBD)","M",365,82.301076,162.95613048
2018,"Teen","Port Melbourne","M",632,142.5048768,282.159656064
2018,"Teen","South Yarra","M",256,57.7234944,114.292518912
2017,"Teen","Southbank","M",300,67.64472,133.9365456
2019,"Teen","Melbourne (CBD)","F",400,73.79424,146.1125952
2018,"Teen","Port Melbourne","F",575,106.07922,210.0368556
2018,"Teen","South Yarra","F",213,39.2954328,77.804956944
2017,"Teen","Southbank","F",402,74.1632112,146.843158176
2019,"Teen","Melbourne (CBD)","A",765,156.81276,310.4892648
2018,"Teen","Port Melbourne","A",1207,247.415688,489.88306224
2018,"Teen","South Yarra","A",469,96.137496,190.35224208
2017,"Teen","Southbank","A",702,143.898768,284.91956064
2019,"Teen","Melbourne (CBD)","M",774,174.5233776,345.556287648
2018,"Teen","Port Melbourne","M",24,5.4115776,10.714923648
2018,"Teen","West Melbourne (Industrial)","M",0,0,0
2017,"Teen","West Melbourne (Residential)","M",174,39.2339376,77.683196448
2019,"Teen","Melbourne (CBD)","F",1005,185.408028,367.10789544
2018,"Teen","Port Melbourne","F",18,3.3207408,6.575066784
2018,"Teen","West Melbourne (Industrial)","F",0,0,0
2017,"Teen","West Melbourne (Residential)","F",168,30.9935808,61.367289984
2019,"Teen","Melbourne (CBD)","A",1779,364.666536,722.03974128
2018,"Teen","Port Melbourne","A",42,8.609328,17.04646944
2018,"Teen","West Melbourne (Industrial)","A",0,0,0
2017,"Teen","West Melbourne (Residential)","A",342,70.104528,138.80696544
2019,"Teen","Melbourne (CBD)","M",449,101.2415976,200.458363248
2019,"Teen","Carlton","M",1062,239.4623088,474.135371424
2018,"Teen","Melbourne (CBD)","M",397,89.5165128,177.242695344
2017,"Teen","Port Melbourne","M",606,136.6423344,270.551822112
2019,"Teen","Melbourne (CBD)","F",545,100.544652,199.07841096
2019,"Teen","Carlton","F",1396,257.5418976,509.932957248
2018,"Teen","Melbourne (CBD)","F",423,78.0374088,154.514069424
2017,"Teen","Port Melbourne","F",557,102.7584792,203.461788816
2019,"Teen","Melbourne (CBD)","A",994,203.754096,403.43311008
2019,"Teen","Carlton","A",2458,503.850672,997.62433056
2018,"Teen","Melbourne (CBD)","A",820,168.08688,332.8120224
2017,"Teen","Port Melbourne","A",1163,238.396392,472.02485616
2019,"Teen","North Melbourne","M",761,171.5921064,339.752370672
2019,"Teen","Docklands","M",273,61.5566952,121.882256496
2018,"Teen","Melbourne (CBD)","M",810,182.640744,361.62867312
2017,"Teen","Port Melbourne","M",14,3.1567536,6.250372128
2019,"Teen","North Melbourne","F",821,151.4626776,299.896101648
2019,"Teen","Docklands","F",311,57.3750216,113.602542768
2018,"Teen","Melbourne (CBD)","F",1131,208.6532136,413.133362928
2017,"Teen","Port Melbourne","F",7,1.2913992,2.556970416
2019,"Teen","North Melbourne","A",1582,324.284688,642.08368224
2019,"Teen","Docklands","A",584,119.710656,237.02709888
2018,"Teen","Melbourne (CBD)","A",1941,397.873944,787.79040912
2017,"Teen","Port Melbourne","A",21,4.304664,8.52323472
2019,"Teen","Melbourne (Remainder)","M",0,0,0
2019,"Teen","East Melbourne","M",89,20.0679336,39.734508528
2018,"Teen","Melbourne (CBD)","M",487,109.8099288,217.423659024
2018,"Teen","Carlton","M",1160,261.559584,517.88797632
2019,"Teen","Melbourne (Remainder)","F",0,0,0
2019,"Teen","East Melbourne","F",104,19.1865024,37.989274752
2018,"Teen","Melbourne (CBD)","F",591,109.0309896,215.881359408
2018,"Teen","Carlton","F",1578,291.1182768,576.414188064
2019,"Teen","Melbourne (Remainder)","A",0,0,0
2019,"Teen","East Melbourne","A",193,39.561912,78.33258576
2018,"Teen","Melbourne (CBD)","A",1078,220.972752,437.52604896
2018,"Teen","Carlton","A",2738,561.246192,1111.26746016
2019,"Teen","Southbank","M",121,27.2833704,54.021073392
2019,"Teen","Melbourne (Remainder)","M",0,0,0
2018,"Teen","North Melbourne","M",765,172.494036,341.53819128
2018,"Teen","Docklands","M",293,66.0663432,130.811359536
2019,"Teen","Southbank","F",167,30.8090952,61.002008496
2019,"Teen","Melbourne (Remainder)","F",1,0.1844856,0.365281488
2018,"Teen","North Melbourne","F",859,158.4731304,313.776798192
2020,"Teen","Parkville","A",1631,334.328904,661.97122992
2019,"Teen","Southbank","A",288,59.035392,116.89007616
2019,"Teen","Melbourne (Remainder)","A",1,0.204984,0.40586832
2018,"Teen","North Melbourne","A",1624,332.894016,659.13015168
2020,"Teen","South Yarra","M",242,54.5667408,108.042146784
2019,"Teen","Southbank","M",292,65.8408608,130.364904384
2019,"Teen","Kensington","M",409,92.2223016,182.600157168
2018,"Teen","Melbourne (Remainder)","M",0,0,0
2020,"Teen","South Yarra","F",221,40.7713176,80.727208848
2019,"Teen","Southbank","F",381,70.2890136,139.172246928
2019,"Teen","Kensington","F",403,74.3476968,147.208439664
2018,"Teen","Melbourne (Remainder)","F",0,0,0
2020,"Teen","South Yarra","A",463,94.907592,187.91703216
2019,"Teen","Southbank","A",673,137.954232,273.14937936
2019,"Teen","Kensington","A",812,166.447008,329.56507584
2018,"Teen","Melbourne (Remainder)","A",0,0,0
2020,"Teen","West Melbourne (Industrial)","M",0,0,0
2019,"Teen","West Melbourne (Residential)","M",192,43.2926208,85.719389184
2019,"Teen","Parkville","M",652,147.0145248,291.088759104
2018,"Teen","Southbank","M",126,28.4107824,56.253349152
2020,"Teen","West Melbourne (Industrial)","F",0,0,0
2019,"Teen","West Melbourne (Residential)","F",196,36.1591776,71.595171648
2019,"Teen","Parkville","F",940,173.416464,343.36459872
2018,"Teen","Southbank","F",186,34.3143216,67.942356768
2020,"Teen","West Melbourne (Industrial)","A",0,0,0
2019,"Teen","West Melbourne (Residential)","A",388,79.533792,157.47690816
2019,"Teen","Parkville","A",1592,326.334528,646.14236544
2018,"Teen","Southbank","A",312,63.955008,126.63091584
2020,"Teen","Melbourne (CBD)","M",311,70.1250264,138.847552272
2019,"Teen","Port Melbourne","M",686,154.6809264,306.268234272
2019,"Teen","South Yarra","M",255,57.498012,113.84606376
2018,"Teen","Southbank","M",305,68.772132,136.16882136
2020,"Teen","Melbourne (CBD)","F",355,65.492388,129.67492824
2019,"Teen","Port Melbourne","F",616,113.6431296,225.013396608
2019,"Teen","South Yarra","F",219,40.4023464,79.996645872
2018,"Teen","Southbank","F",394,72.6873264,143.920906272
2020,"Teen","Melbourne (CBD)","A",666,136.519344,270.30830112
2019,"Teen","Port Melbourne","A",1302,266.889168,528.44055264
2019,"Teen","South Yarra","A",474,97.162416,192.38158368
2018,"Teen","Southbank","A",699,143.283816,283.70195568
2020,"Teen","Melbourne (CBD)","M",698,157.3867152,311.625696096
2019,"Teen","Port Melbourne","M",40,9.019296,17.85820608
2019,"Teen","West Melbourne (Industrial)","M",0,0,0
2018,"Teen","West Melbourne (Residential)","M",184,41.4887616,82.147747968
2020,"Teen","Melbourne (CBD)","F",841,155.1523896,307.201731408
2019,"Teen","Port Melbourne","F",30,5.534568,10.95844464
2021,"Teen","North Melbourne","A",1414,289.847376,573.89780448
2021,"Teen","Docklands","A",440,90.19296,178.5820608
2020,"Teen","Melbourne (CBD)","A",1539,315.470376,624.63134448
2019,"Teen","Port Melbourne","A",70,14.34888,28.4107824
2021,"Teen","Melbourne (Remainder)","M",0,0,0
2021,"Teen","East Melbourne","M",87,19.6169688,38.841598224
2020,"Teen","Melbourne (CBD)","M",395,89.065548,176.34978504
2020,"Teen","Carlton","M",933,210.3750792,416.542656816
2021,"Teen","Melbourne (Remainder)","F",0,0,0
2021,"Teen","East Melbourne","F",100,18.44856,36.5281488
2020,"Teen","Melbourne (CBD)","F",462,85.2323472,168.760047456
2020,"Teen","Carlton","F",1136,209.5756416,414.959770368
2021,"Teen","Melbourne (Remainder)","A",0,0,0
2021,"Teen","East Melbourne","A",187,38.332008,75.89737584
2020,"Teen","Melbourne (CBD)","A",857,175.671288,347.82915024
2020,"Teen","Carlton","A",2069,424.111896,839.74155408
2021,"Teen","Southbank","M",105,23.675652,46.87779096
2021,"Teen","Melbourne (Remainder)","M",0,0,0
2020,"Teen","North Melbourne","M",773,174.2978952,345.109832496
2020,"Teen","Docklands","M",246,55.4686704,109.827967392
2021,"Teen","Southbank","F",97,17.8951032,35.432304336
2021,"Teen","Melbourne (Remainder)","F",0,0,0
2020,"Teen","North Melbourne","F",774,142.7918544,282.727871712
2020,"Teen","Docklands","F",272,50.1800832,99.356564736
2021,"Teen","Southbank","A",202,41.406768,81.98540064
2021,"Teen","Melbourne (Remainder)","A",0,0,0
2020,"Teen","North Melbourne","A",1547,317.110248,627.87829104
2020,"Teen","Docklands","A",518,106.181712,210.23978976
2021,"Teen","Southbank","M",262,59.0763888,116.971249824
2021,"Teen","Kensington","M",396,89.2910304,176.796240192
2020,"Teen","Melbourne (Remainder)","M",0,0,0
2020,"Teen","East Melbourne","M",92,20.7443808,41.073873984
2021,"Teen","Southbank","F",303,55.8991368,110.680290864
2021,"Teen","Kensington","F",397,73.2407832,145.016750736
2020,"Teen","Melbourne (Remainder)","F",0,0,0
2020,"Teen","East Melbourne","F",106,19.5554736,38.719837728
2021,"Teen","Southbank","A",565,115.81596,229.3156008
2021,"Teen","Kensington","A",793,162.552312,321.85357776
2020,"Teen","Melbourne (Remainder)","A",0,0,0
2020,"Teen","East Melbourne","A",198,40.586832,80.36192736
2021,"Teen","West Melbourne (Residential)","M",179,40.3613496,79.915472208
2021,"Teen","Parkville","M",578,130.3288272,258.051077856
2020,"Teen","Southbank","M",124,27.9598176,55.360438848
2020,"Teen","Melbourne (Remainder)","M",0,0,0
2021,"Teen","West Melbourne (Residential)","F",194,35.7902064,70.864608672
2021,"Teen","Parkville","F",884,163.0852704,322.908835392
2020,"Teen","Southbank","F",145,26.750412,52.96581576
2020,"Teen","Melbourne (Remainder)","F",1,0.1844856,0.365281488
2021,"Teen","West Melbourne (Residential)","A",373,76.459032,151.38888336
2021,"Teen","Parkville","A",1462,299.686608,593.37948384
2020,"Teen","Southbank","A",269,55.140696,109.17857808
2020,"Teen","Melbourne (Remainder)","A",1,0.204984,0.40586832
2021,"Teen","Port Melbourne","M",728,164.1511872,325.019350656
2021,"Teen","South Yarra","M",199,44.8709976,88.844575248
2020,"Teen","Southbank","M",278,62.6841072,124.114532256
2020,"Teen","Kensington","M",408,91.9968192,182.153702016
2021,"Teen","Port Melbourne","F",654,120.6535824,238.894093152
2021,"Teen","South Yarra","F",214,39.4799184,78.170238432
2020,"Teen","Southbank","F",348,64.2009888,127.117957824
2020,"Teen","Kensington","F",399,73.6097544,145.747313712
2021,"Teen","Port Melbourne","A",1382,283.287888,560.91001824
2021,"Teen","South Yarra","A",413,84.658392,167.62361616
2020,"Teen","Southbank","A",626,128.319984,254.07356832
2020,"Teen","Kensington","A",807,165.422088,327.53573424
2021,"Teen","Port Melbourne","M",51,11.4996024,22.769212752
2021,"Teen","West Melbourne (Industrial)","M",0,0,0
2020,"Teen","West Melbourne (Residential)","M",192,43.2926208,85.719389184
2020,"Teen","Parkville","M",656,147.9164544,292.874579712
2021,"Teen","Port Melbourne","F",42,7.7483952,15.341822496
2021,"Teen","West Melbourne (Industrial)","F",0,0,0
2020,"Teen","West Melbourne (Residential)","F",199,36.7126344,72.691016112
2020,"Teen","Parkville","F",975,179.87346,356.1494508
2021,"Teen","Port Melbourne","A",93,19.063512,37.74575376
2021,"Teen","West Melbourne (Industrial)","A",0,0,0
2020,"Teen","West Melbourne (Residential)","A",391,80.148744,158.69451312
2021,"Teen","Melbourne (CBD)","M",303,68.3211672,135.275911056
2021,"Teen","Melbourne (CBD)","M",553,124.6917672,246.889699056
2021,"Teen","Melbourne (CBD)","M",201,45.3219624,89.737485552
2020,"Teen","Port Melbourne","M",709,159.8670216,316.536702768
2021,"Teen","Melbourne (CBD)","F",346,63.8320176,126.387394848
2021,"Teen","Melbourne (CBD)","F",621,114.5655576,226.839804048
2021,"Teen","Melbourne (CBD)","F",267,49.2576552,97.530157296
2020,"Teen","Port Melbourne","F",626,115.4879856,228.666211488
2021,"Teen","Melbourne (CBD)","A",649,133.034616,263.40853968
2021,"Teen","Melbourne (CBD)","A",1174,240.651216,476.48940768
2021,"Teen","Melbourne (CBD)","A",468,95.932512,189.94637376
2020,"Teen","Port Melbourne","A",1335,273.65364,541.8342072
2021,"Teen","North Melbourne","M",690,155.582856,308.05405488
2021,"Teen","Docklands","M",209,47.1258216,93.309126768
2021,"Teen","Carlton","M",690,155.582856,308.05405488
2020,"Teen","Port Melbourne","M",46,10.3721904,20.536936992
2021,"Teen","North Melbourne","F",724,133.5675744,264.463797312
2021,"Teen","Docklands","F",231,42.6161736,84.380023728
2021,"Teen","Carlton","F",782,144.2677392,285.650123616
2020,"Teen","Port Melbourne","F",36,6.6414816,13.150133568
2021,"Teen","Carlton","A",1472,301.736448,597.43816704
2020,"Teen","Port Melbourne","A",82,16.808688,33.28120224
